553	Tamil	ta	tam	tam	தமிழ்
554	Tarasco				
555	Tatar	tt	tat	tat	татарча
556	Telugu	te	tel	tel	తెలుగు
557	Temne				
558	Teochew				
559	Terena				
560	Tetum				
561	Thai	th	tha	tha	ไทย
562	Tibetan	bo	tib	bod	བོད་ཡིག
563	Tigré				
564	Tigrinya	ti	tir	tir	ትግርኛ
565	Tiv				
566	Tlingit				
567	Tobian				
568	Tok Pisin				
569	Tokelauan				
570	Tonga	to	ton	ton	faka Tonga
571	Tonga (Nyasa)				
572	Tongan				
573	Toro				
574	Totonac				
575	Totonaco				
576	Truk				
577	Tsimshian				
578	Tsonga	ts	tso	tso	xiTsonga
579	Tswana	tn	tsn	tsn	seTswana
580	Tuamotuan				
581	Tumbuka				
582	Tunya				
583	Tupi				
584	Turkana				
585	Turkish	tr	tur	tur	Türkçe
586	Turkish, Ottoman				
587	Turkmen	tk	tuk	tuk	Türkmen
588	Tuvaluan				
589	Tuvinian				
590	Twi	tw	twi	twi	Twi
591	Ugaritic				
592	Uighur	ug	uig	uig	Uyƣurqə
593	Ukrainian	uk	ukr	ukr	українська мова
594	Ulithi				
595	Umbundu				
596	Undetermined				
597	Unknown				
598	unspecified				
599	Urdu	ur	urd	urd	‫اردو
600	Uzbek	uz	uzb	uzb	O'zbek
601	Vai				
602	Venda	ve	ven	ven	tshiVenḓa
603	Vietnamese	vi	vie	vie	Tiếng Việt
604	Visayan				
605	Volapük	vo	vol	vol	Volapük
606	Votic				
607	Wakashan languages				
608	Walamo				
609	Waray				
610	Waray-waray				
611	Washo				
612	Wayana				
613	Welsh	cy	wel	cym	Cymraeg
614	Wolof	wo	wol	wol	Wollof
615	Xhosa	xh	xho	xho	isiXhosa
616	Yakut				
617	Yao				
618	Yapese				
619	Yiddish	yi	yid	yid	‫ייִדיש
620	Yoruba	yo	yor	yor	Yorùbá
621	Yupik languages				
622	Zande				
623	Zapotec				
624	Zenaga				
625	Zhuang	za	zha	zha	Saɯ cueŋƅ
626	Zulu	zu	zul	zul	isiZulu
627	Zuni				
628	Common name				
629	Iglulik Inuit				
630	Adioukrou				
631	Aizi				
632	Hungaria				
633	Kera				
634	Logone				
635	Mandinka				
636	Mangareva				
637	Niellim				
638	Vili				
639	Abkhazian	ab	abk	abk	Аҧсуа
640	Aragonese	an	arg	arg	Aragonés
641	Fulah	ff	ful	ful	Fulfulde
